datetime;main_state;backtracking;wind_from_east;active_security_position;angle;target_angle;soc;remaining_capacity;ps_voltage;ps_current;voltage;current;motor_voltage;motor_current;motor_current_peak;motor_state;motor_pwm;daily_motor_power_consumption;pcb_temp;battery_temp;alarms_1;alarms_2;hw_alarms;system_monitor_status;system_monitor_flags;power_section_alarms
2026-08-07 00:00:04;OFF;false;false;0;55.00;-5.00;99;5775;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.7;0;0;0;0;32801;0
2026-08-07 00:00:14;OFF;false;false;0;55.00;-5.00;99;5774;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.7;0;0;0;0;32801;0
2026-08-07 00:00:24;OFF;false;false;0;55.00;-5.00;99;5774;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.7;0;0;0;0;32801;0
2026-08-07 00:00:34;OFF;false;false;0;54.90;-5.00;99;5774;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.7;0;0;0;0;32801;0
2026-08-07 00:00:44;OFF;false;false;0;55.00;-5.00;99;5774;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.7;0;0;0;0;32801;0
2026-08-07 00:00:54;OFF;false;false;0;55.10;-5.00;99;5774;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.7;0;0;0;0;32801;0
2026-08-07 00:15:04;OFF;false;false;0;55.00;-5.00;99;5767;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.5;0;0;0;0;32801;0
2026-08-07 00:15:14;OFF;false;false;0;55.00;-5.00;99;5767;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.4;0;0;0;0;32801;0
2026-08-07 00:15:24;OFF;false;false;0;55.00;-5.00;99;5767;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.4;0;0;0;0;32801;0
2026-08-07 00:15:34;OFF;false;false;0;54.90;-5.00;99;5767;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.5;0;0;0;0;32801;0
2026-08-07 00:15:44;OFF;false;false;0;54.90;-5.00;99;5767;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.4;0;0;0;0;32801;0
2026-08-07 00:15:54;OFF;false;false;0;55.00;-5.00;98;5767;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.4;0;0;0;0;32801;0
2026-08-07 00:30:14;OFF;false;false;0;55.00;-5.00;98;5761;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.2;0;0;0;0;32801;0
2026-08-07 00:30:24;OFF;false;false;0;54.90;-5.00;98;5761;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.2;0;0;0;0;32801;0
2026-08-07 00:30:34;OFF;false;false;0;55.00;-5.00;98;5761;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.2;0;0;0;0;32801;0
2026-08-07 00:30:44;OFF;false;false;0;55.00;-5.00;98;5760;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.2;0;0;0;0;32801;0
2026-08-07 00:30:54;OFF;false;false;0;54.90;-5.00;98;5760;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23.2;0;0;0;0;32801;0
2026-08-07 00:45:09;OFF;false;false;0;54.90;-5.00;98;5754;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23;0;0;0;0;32801;0
2026-08-07 00:45:19;OFF;false;false;0;55.00;-5.00;98;5754;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23;0;0;0;0;32801;0
2026-08-07 00:45:34;OFF;false;false;0;55.00;-5.00;98;5754;0;1;26680;-26;0;0;0;OFF;0.00;0;24.9;23;0;0;0;0;32801;0
2026-08-07 00:45:44;OFF;false;false;0;55.00;-5.00;98;5754;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23;0;0;0;0;32801;0
2026-08-07 00:45:54;OFF;false;false;0;54.90;-5.00;98;5754;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;23;0;0;0;0;32801;0
2026-08-07 01:00:09;OFF;false;false;0;55.10;-5.00;98;5748;0;1;26672;-25;0;0;0;OFF;0.00;0;24.9;22.8;0;0;0;0;32801;0
2026-08-07 01:00:19;OFF;false;false;0;55.00;-5.00;98;5748;0;1;26680;-26;0;0;0;OFF;0.00;0;24.9;22.8;0;0;0;0;32801;0
2026-08-07 01:00:29;OFF;false;false;0;55.00;-5.00;98;5748;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;22.8;0;0;0;0;32801;0
2026-08-07 01:00:39;OFF;false;false;0;55.00;-5.00;98;5748;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;22.8;0;0;0;0;32801;0
2026-08-07 01:00:54;OFF;false;false;0;55.10;-5.00;98;5748;0;1;26680;-26;0;0;0;OFF;0.00;0;24.9;22.8;0;0;0;0;32801;0
2026-08-07 01:15:00;OFF;false;false;0;55.00;-5.00;98;5742;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;22.6;0;0;0;0;32801;0
2026-08-07 01:15:10;OFF;false;false;0;54.90;-5.00;98;5742;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;22.6;0;0;0;0;32801;0
2026-08-07 01:15:20;OFF;false;false;0;55.00;-5.00;98;5741;0;1;26680;-26;0;0;0;OFF;0.00;0;24.9;22.6;0;0;0;0;32801;0
2026-08-07 01:15:30;OFF;false;false;0;55.00;-5.00;98;5741;0;1;26680;-26;0;0;0;OFF;0.00;0;24.9;22.6;0;0;0;0;32801;0
2026-08-07 01:15:40;OFF;false;false;0;55.00;-5.00;98;5741;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;22.6;0;0;0;0;32801;0
2026-08-07 01:15:50;OFF;false;false;0;54.90;-5.00;98;5741;0;1;26672;-26;0;0;0;OFF;0.00;0;24.9;22.6;0;0;0;0;32801;0
2026-08-07 01:30:01;OFF;false;false;0;55.00;-5.00;98;5735;0;1;26672;-25;0;0;0;OFF;0.00;0;22.4;22.4;0;0;0;0;32801;0
2026-08-07 01:30:11;OFF;false;false;0;55.00;-5.00;98;5735;0;1;26672;-25;0;0;0;OFF;0.00;0;22.4;22.4;0;0;0;0;32801;0
2026-08-07 01:30:21;OFF;false;false;0;55.00;-5.00;98;5735;0;1;26680;-25;0;0;0;OFF;0.00;0;22.4;22.4;0;0;0;0;32801;0
