datetime;main_state;backtracking;wind_from_east;active_security_position;angle;target_angle;soc;remaining_capacity;ps_voltage;ps_current;voltage;current;motor_voltage;motor_current;motor_current_peak;motor_state;motor_pwm;daily_motor_power_consumption;pcb_temp;battery_temp;alarms_1;alarms_2;hw_alarms;system_monitor_status;system_monitor_flags;power_section_alarms
2026-08-07 00:00:04;OFF;false;false;0;-56.10;-5.00;95;5561;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.9;0;0;0;0;32802;0
2026-08-07 00:00:14;OFF;false;false;0;-56.10;-5.00;95;5561;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.8;0;0;0;0;32802;0
2026-08-07 00:00:24;OFF;false;false;0;-56.20;-5.00;95;5561;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.8;0;0;0;0;32802;0
2026-08-07 00:00:34;OFF;false;false;0;-56.10;-5.00;95;5561;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.8;0;0;0;0;32802;0
2026-08-07 00:00:44;OFF;false;false;0;-56.20;-5.00;95;5561;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.8;0;0;0;0;32802;0
2026-08-07 00:00:54;OFF;false;false;0;-56.10;-5.00;95;5561;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.8;0;0;0;0;32802;0
2026-08-07 00:15:04;OFF;false;false;0;-56.20;-5.00;95;5555;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.6;0;0;0;0;32802;0
2026-08-07 00:15:14;OFF;false;false;0;-56.10;-5.00;95;5555;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.5;0;0;0;0;32802;0
2026-08-07 00:15:24;OFF;false;false;0;-56.20;-5.00;95;5555;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.6;0;0;0;0;32802;0
2026-08-07 00:15:34;OFF;false;false;0;-56.20;-5.00;95;5555;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.6;0;0;0;0;32802;0
2026-08-07 00:15:44;OFF;false;false;0;-56.10;-5.00;95;5555;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.5;0;0;0;0;32802;0
2026-08-07 00:15:54;OFF;false;false;0;-56.10;-5.00;95;5555;0;1;26616;-23;0;0;0;OFF;0.00;0;24.9;23.5;0;0;0;0;32802;0
2026-08-07 00:30:14;OFF;false;false;0;-56.20;-5.00;95;5549;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.3;0;0;0;0;32802;0
2026-08-07 00:30:24;OFF;false;false;0;-56.10;-5.00;95;5549;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.3;0;0;0;0;32802;0
2026-08-07 00:30:34;OFF;false;false;0;-56.10;-5.00;95;5549;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.3;0;0;0;0;32802;0
2026-08-07 00:30:44;OFF;false;false;0;-56.00;-5.00;95;5549;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.3;0;0;0;0;32802;0
2026-08-07 00:30:54;OFF;false;false;0;-56.10;-5.00;95;5549;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.3;0;0;0;0;32802;0
2026-08-07 00:45:09;OFF;false;false;0;-56.10;-5.00;95;5543;0;1;26616;-24;0;0;0;OFF;0.00;0;24.9;23.1;0;0;0;0;32802;0
